stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
50345,50345,Westbound Beaverhill at Baywater,49.8443953557404,-97.06563157463802,https://winnipegtransit.com/stops/50345
50346,50346,Westbound Beaverhill at Driftwood,49.844165856830365,-97.06804713887058,https://winnipegtransit.com/stops/50346
50347,50347,Eastbound Beaverhill at Driftwood,49.84403055509336,-97.0680247133056,https://winnipegtransit.com/stops/50347
50348,50348,Eastbound Beaverhill at Collingwood,49.8445098105738,-97.07087105433095,https://winnipegtransit.com/stops/50348
50349,50349,Westbound Beaverhill at Collingwood,49.84468065280132,-97.071406742744,https://winnipegtransit.com/stops/50349
50352,50352,Eastbound Beaverhill at Lakewood,49.84420439053848,-97.0735956333641,https://winnipegtransit.com/stops/50352
50353,50353,Westbound Beaverhill at Lakewood,49.84424752048356,-97.07402512449052,https://winnipegtransit.com/stops/50353
50354,50354,Westbound Beaverhill at Cherwell,49.84361457893275,-97.08032354198681,https://winnipegtransit.com/stops/50354
50355,50355,Eastbound Beaverhill at Bromton,49.843500716567306,-97.08050887762786,https://winnipegtransit.com/stops/50355
50357,50357,Westbound Beaverhill at Bluewater,49.84358390782904,-97.0833570623442,https://winnipegtransit.com/stops/50357
50358,50358,Eastbound Willowlake at Bluewater,49.844586255444305,-97.0857655681947,https://winnipegtransit.com/stops/50358
50359,50359,Westbound Willowlake at Bluewater,49.84460860278131,-97.08602897441965,https://winnipegtransit.com/stops/50359
50360,50360,Eastbound Willowlake at Willow Point,49.846495711443886,-97.08428517807671,https://winnipegtransit.com/stops/50360
50361,50361,Westbound Willowlake at Willow Point,49.84664714788116,-97.08419572782472,https://winnipegtransit.com/stops/50361
50362,50362,Eastbound Willowlake at Pebble Beach,49.847318147394816,-97.08071933714919,https://winnipegtransit.com/stops/50362
50363,50363,Westbound Willowlake at Pebble Beach,49.847579292065625,-97.08019429334735,https://winnipegtransit.com/stops/50363
50364,50364,Eastbound Beaverhill at St. Hilaire,49.84349556793941,-97.07694821454827,https://winnipegtransit.com/stops/50364
50365,50365,Eastbound Willowlake at Lakewood,49.847882112188806,-97.07784526466837,https://winnipegtransit.com/stops/50365
50366,50366,Westbound Willowlake at Lakewood,49.848004497252326,-97.0776317456582,https://winnipegtransit.com/stops/50366
50367,50367,Southbound Lakewood at Beaverhill,49.84424414346226,-97.07544406415407,https://winnipegtransit.com/stops/50367
50368,50368,Northbound Lakewood at Beaverhill,49.844476475705214,-97.07535137764371,https://winnipegtransit.com/stops/50368
50371,50371,Northbound Lakewood at Tamarac,49.84688057450856,-97.07657739694335,https://winnipegtransit.com/stops/50371
50372,50372,Southbound Lakewood at Tamarac,49.84729155834664,-97.07695058334681,https://winnipegtransit.com/stops/50372
50375,50375,Northbound Lakewood at Edgewater,49.850182870621055,-97.07718361412797,https://winnipegtransit.com/stops/50375
50376,50376,Southbound Lakewood at Edgewater,49.85096656738135,-97.07779245315943,https://winnipegtransit.com/stops/50376
50379,50379,Westbound St Vital at St. Mary's,49.84233224384871,-97.11338105221492,https://winnipegtransit.com/stops/50379
